mass,description,periastrontime,semimajoraxis,discoveryyear,list,eccentricity,period,discoverymethod,lastupdate,periastron,name
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,3.148664530,transit,16/05/10,,Kepler-862 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,15.594618740,transit,16/05/10,,Kepler-863 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,5.833760920,transit,16/05/10,,Kepler-864 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,14.163992940,transit,16/05/10,,Kepler-865 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,2.617032540,transit,16/05/10,,Kepler-866 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,150.242127000,transit,16/05/10,,Kepler-867 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,5.032517910,transit,16/05/10,,Kepler-868 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,40.428775500,transit,16/05/10,,Kepler-869 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,21.358762100,transit,16/05/10,,Kepler-870 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,22.045901800,transit,16/05/10,,Kepler-871 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,2.578855070,transit,16/05/10,,Kepler-872 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,20.553384400,transit,16/05/10,,Kepler-873 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,40.068672700,transit,16/05/10,,Kepler-874 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,27.507379900,transit,16/05/10,,Kepler-875 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,5.144380110,transit,16/05/10,,Kepler-876 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,18.458470970,transit,16/05/10,,Kepler-877 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,25.942203300,transit,16/05/10,,Kepler-878 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,33.385593800,transit,16/05/10,,Kepler-879 b
1.02,The Kepler-87 system consists of at least two planets which have been confirmed using transit timing variations (TTV). There might be two more planets in the system which have not been confirmed yet.,,0.471,2013,Confirmed planets,0.036,114.7309,transit,15/12/03,,Kepler-87 b
0.020132,The Kepler-87 system consists of at least two planets. The planets have been confirmed using transit timing variations (TTV). Kepler-87 c is the lowest density planet in the super-Earth range.,,0.664,2013,Confirmed planets,0.039,192.363,transit,13/10/14,,Kepler-87 c
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,7.714689750,transit,16/05/10,,Kepler-880 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,4.444480170,transit,16/05/10,,Kepler-881 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,3.989539670,transit,16/05/10,,Kepler-882 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,12.984955730,transit,16/05/10,,Kepler-883 b
